Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Cleveland Cavaliers* (1),64,18,0.78,—,121.9,112.4,8.81
Boston Celtics* (2),61,21,0.744,3,116.3,107.2,8.28
New York Knicks* (3),51,31,0.622,13,115.8,111.7,3.59
Indiana Pacers* (4),50,32,0.61,14,117.4,115.1,1.68
Milwaukee Bucks* (5),48,34,0.585,16,115.5,113,2.12
Detroit Pistons* (6),44,38,0.537,20,115.5,113.6,1.73
Orlando Magic* (7),41,41,0.5,23,105.4,105.5,-0.7
Atlanta Hawks* (8),40,42,0.488,24,118.2,119.3,-1.41
Chicago Bulls* (9),39,43,0.476,25,117.8,119.4,-1.83
Miami Heat* (10),37,45,0.451,27,110.6,110,0.11
Toronto Raptors (11),30,52,0.366,34,110.9,115.2,-4.4
Brooklyn Nets (12),26,56,0.317,38,105.1,112.2,-6.95
Philadelphia 76ers (13),24,58,0.293,40,109.6,115.8,-6.29
Charlotte Hornets (14),19,63,0.232,45,105.1,114.2,-9.1
Washington Wizards (15),18,64,0.22,46,108,120.4,-12.14
