Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Oklahoma City Thunder* (1),68,14,0.829,—,120.5,107.6,12.7
Houston Rockets* (2),52,30,0.634,16,114.3,109.8,4.97
Los Angeles Lakers* (3),50,32,0.61,18,113.4,112.2,1.45
Denver Nuggets* (4),50,32,0.61,18,120.8,116.9,3.97
Los Angeles Clippers* (5),50,32,0.61,18,112.9,108.2,4.84
Minnesota Timberwolves* (6),49,33,0.598,19,114.3,109.3,5.15
Golden State Warriors* (7),48,34,0.585,20,113.8,110.5,3.56
Memphis Grizzlies* (8),48,34,0.585,20,121.7,116.9,4.79
Sacramento Kings* (9),40,42,0.488,28,115.7,115.3,0.58
Dallas Mavericks* (10),39,43,0.476,29,114.2,115.4,-0.74
Phoenix Suns (11),36,46,0.439,32,113.6,116.6,-2.55
Portland Trail Blazers (12),36,46,0.439,32,110.9,113.9,-2.67
San Antonio Spurs (13),34,48,0.415,34,113.9,116.7,-2.45
New Orleans Pelicans (14),21,61,0.256,47,109.8,119.3,-8.59
Utah Jazz (15),17,65,0.207,51,111.9,121.2,-8.51
